name,composer,genre,key,year,instruments,details_url,tags,catalogue_code,file_urls,raw_file_path,source_url,processed_file_path
"N6e. Chopin, Mazurka, op. 41 no. 2, mm. 1-8","Chopin, Frederic",,a minor,,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/cutler/tmte/ch24&file=N6e.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/cutler/tmte/ch24&file=N6e.mid,data/files_kernscores/859c17427b612d62aac51ab14ad809c7ff62d722.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/cutler/tmte/ch24&file=N6e.mid,data/normalized/859c17427b612d62aac51ab14ad809c7ff62d722.xml
"Mazurka in C-sharp Minor, Op. 63, No. 3","Chopin, Frederic",,c# minor,1846,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/chopin/mazurka&file=mazurka63-3.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/chopin/mazurka&file=mazurka63-3.mid,data/files_kernscores/c05aff259adc395acca7cb42cff8b941f63dfb0a.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/chopin/mazurka&file=mazurka63-3.mid,data/normalized/c05aff259adc395acca7cb42cff8b941f63dfb0a.xml
Fugue,"Bach, Johann Sebastian",Baroque,b minor,1742,,http://kern.humdrum.org/cgi-bin/ksdata?file=wtc2f24.krn&l=musedata/bach/keyboard/wtc&format=info,,BWV 893,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f24.mid,data/files_kernscores/cd1f471606732412448ecafc853a2b68da0c95f8.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f24.mid,data/normalized/cd1f471606732412448ecafc853a2b68da0c95f8.xml
Piano Sonata No. 3 in B-flat major,"Mozart, Wolfgang Amadeus",,B- major,1774,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata03-1.krn&l=users/craig/classical/mozart/piano/sonata&format=info,,K,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/mozart/piano/sonata&file=sonata03-1.mid,data/files_kernscores/fa8b6eb1aa5e7a31156d2e9fcf47218dc699e0eb.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/mozart/piano/sonata&file=sonata03-1.mid,data/normalized/fa8b6eb1aa5e7a31156d2e9fcf47218dc699e0eb.xml
Fugue,"Bach, Johann Sebastian",Baroque,g# minor,1742,,http://kern.humdrum.org/cgi-bin/ksdata?file=wtc2f23.krn&l=musedata/bach/keyboard/wtc&format=info,,BWV 892,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f23.mid,data/files_kernscores/5e5c35310383699098841f2a7760a6f6e0a09a36.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2f23.mid,data/normalized/5e5c35310383699098841f2a7760a6f6e0a09a36.xml
Prelude,"Bach, Johann Sebastian",Baroque,b minor,1742,,http://kern.humdrum.org/cgi-bin/ksdata?file=wtc2p24.krn&l=musedata/bach/keyboard/wtc&format=info,,BWV 893,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2p24.mid,data/files_kernscores/7d0d99d532e9c92a6e5ee054bddf8a4cc6a22a1c.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=musedata/bach/keyboard/wtc&file=wtc2p24.mid,data/normalized/7d0d99d532e9c92a6e5ee054bddf8a4cc6a22a1c.xml
"Etude, Op. 8, No. 6","Scriabin, Alexander",,A major,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-06.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-06.mid,data/files_kernscores/1c0632def24a9a4ca9951f2e5734cdfe9ec19748.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-06.mid,data/normalized/1c0632def24a9a4ca9951f2e5734cdfe9ec19748.xml
"Etude, Op. 8, No. 9","Scriabin, Alexander",,g# minor,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-09.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-09.mid,data/files_kernscores/d079c75d77bee7c389403acfe4982c9ed29b7b39.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-09.mid,data/normalized/d079c75d77bee7c389403acfe4982c9ed29b7b39.xml
"Etude, Op. 8, No. 4","Scriabin, Alexander",,B major,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-04.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-04.mid,data/files_kernscores/3ec2303aa4f57168a42a2cc5f7976c214f5e7a8d.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-04.mid,data/normalized/3ec2303aa4f57168a42a2cc5f7976c214f5e7a8d.xml
"Prelude Op. 59, No. 2","Scriabin, Alexander",,g minor,1910,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op59&file=prelude59-2.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op59&file=prelude59-2.mid,data/files_kernscores/801935d5f0117f3280463da1201d2393d05d5224.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op59&file=prelude59-2.mid,data/normalized/801935d5f0117f3280463da1201d2393d05d5224.xml
"Etude Op. 65, No. 2","Scriabin, Alexander",,d minor,1911-1912,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op65&file=etude65-2.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-2.mid,data/files_kernscores/e18e2d04b6743704506aa12e12a8b720efbc928b.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-2.mid,data/normalized/e18e2d04b6743704506aa12e12a8b720efbc928b.xml
"Etude, Op. 8, No. 3","Scriabin, Alexander",,b minor,1894,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op8&file=etude8-03.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-03.mid,data/files_kernscores/140913fd57de6178f4a17c4c44284063291e531e.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op8&file=etude8-03.mid,data/normalized/140913fd57de6178f4a17c4c44284063291e531e.xml
"Etude Op. 65, No. 3","Scriabin, Alexander",,d minor,1911-1912,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op65&file=etude65-3.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-3.mid,data/files_kernscores/f38d20c4731a1256b9d3cb4f4b62eb0f8ace6899.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op65&file=etude65-3.mid,data/normalized/f38d20c4731a1256b9d3cb4f4b62eb0f8ace6899.xml
Sonata in E minor,"Grieg, Edvard",,e minor,1865-1867,,http://kern.humdrum.org/cgi-bin/ksdata?file=op07-1.krn&l=users/craig/classical/grieg/op07&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/grieg/op07&file=op07-1.mid,data/files_kernscores/27c5556cf82b3420c9bd407dcbd8dbcf544f1470.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/grieg/op07&file=op07-1.mid,data/normalized/27c5556cf82b3420c9bd407dcbd8dbcf544f1470.xml
Something Doing,"Joplin, Scott",,F major,1903,,http://kern.humdrum.org/cgi-bin/ksdata?file=something.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=something.mid,data/files_kernscores/3960ff21bfe3c756479fa129d8215dbbf79a90cf.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=something.mid,data/normalized/3960ff21bfe3c756479fa129d8215dbbf79a90cf.xml
School of Ragtime,"Joplin, Scott",,C major,1906,,http://kern.humdrum.org/cgi-bin/ksdata?file=school.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=school.mid,data/files_kernscores/2f34b65c9eb72f53255ea2ef32c00be000fa38a8.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=school.mid,data/normalized/2f34b65c9eb72f53255ea2ef32c00be000fa38a8.xml
Peacherine Rag,"Joplin, Scott",,E- major,1901,,http://kern.humdrum.org/cgi-bin/ksdata?file=peacherine.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=peacherine.mid,data/files_kernscores/735ff3ba789ceae5963cfa80fc5965fa99b77228.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=peacherine.mid,data/normalized/735ff3ba789ceae5963cfa80fc5965fa99b77228.xml
Felicity Rag,"Joplin, Scott",,C major,1911,,http://kern.humdrum.org/cgi-bin/ksdata?file=felicity.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=felicity.mid,data/files_kernscores/d1dc7aa49170c759af9755b3ec3e8d27935ad261.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=felicity.mid,data/normalized/d1dc7aa49170c759af9755b3ec3e8d27935ad261.xml
Eugenia,"Joplin, Scott",,B- major,1905,,http://kern.humdrum.org/cgi-bin/ksdata?file=eugenia.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=eugenia.mid,data/files_kernscores/3cfe2a91a647b53d39c76a193e172b5d482c57f6.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=eugenia.mid,data/normalized/3cfe2a91a647b53d39c76a193e172b5d482c57f6.xml
Elite Syncopations Rag,"Joplin, Scott",,F major,1902,,http://kern.humdrum.org/cgi-bin/ksdata?file=elite.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=elite.mid,data/files_kernscores/1c6fb481ba3a7cec8ba5194430c2bd3f68666061.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=elite.mid,data/normalized/1c6fb481ba3a7cec8ba5194430c2bd3f68666061.xml
Eugenia,"Joplin, Scott",,A- major,1901,,http://kern.humdrum.org/cgi-bin/ksdata?file=winners.krn&l=users/craig/ragtime/joplin&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=winners.mid,data/files_kernscores/f0578ed52b12d26588cfdfcec6e166925bcb3952.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/ragtime/joplin&file=winners.mid,data/normalized/f0578ed52b12d26588cfdfcec6e166925bcb3952.xml
"Sonata in F Major, K.85, L.166","Scarlatti, Domenico",,F major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=L166K085.krn&l=users/craig/classical/scarlatti/longo&format=info,,K. 085,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scarlatti/longo&file=L166K085.mid,data/files_kernscores/9fa36529f99c7700aaa454ecb0bf020d87c871c3.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scarlatti/longo&file=L166K085.mid,data/normalized/9fa36529f99c7700aaa454ecb0bf020d87c871c3.xml
"Etude Op. 2, No. 1","Scriabin, Alexander",,c# minor,1887,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op2&file=etude2-1.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op2&file=etude2-1.mid,data/files_kernscores/bd5b0d48c4f11614d12af67eb5d03d964070845e.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op2&file=etude2-1.mid,data/normalized/bd5b0d48c4f11614d12af67eb5d03d964070845e.xml
Prelude No. 4,"Scriabin, Alexander",,e minor,1888,,http://kern.ccarh.org/cgi-bin/ksdata?location=users/craig/classical/scriabin/op11&file=op11n4.krn&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op11&file=op11n4.mid,data/files_kernscores/9f900dd904c27e2c0864b028071015cb4d967d4f.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/scriabin/op11&file=op11n4.mid,data/normalized/9f900dd904c27e2c0864b028071015cb4d967d4f.xml
Piano Sonata no. 31 in A-flat major,"Beethoven, Ludwig van",,A- major,1821-1822,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata31-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata31-3.mid,data/files_kernscores/42743af2d771c2a575f5826269d1a496bc609d51.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata31-3.mid,data/normalized/42743af2d771c2a575f5826269d1a496bc609d51.xml
"Piano Sonata no. 30, mvmt. 2","Beethoven, Ludwig van",,E major,1820,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata30-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata30-3.mid,data/files_kernscores/0d9916968ec128fdf3511b5997bedd6930fba2d9.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata30-3.mid,data/normalized/0d9916968ec128fdf3511b5997bedd6930fba2d9.xml
Piano Sonata no. 32 in C minor,"Beethoven, Ludwig van",,C major,1821-1822,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata32-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata32-2.mid,data/files_kernscores/9d92bbe6f90cad46c7e26970b486ca06000bcd27.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata32-2.mid,data/normalized/9d92bbe6f90cad46c7e26970b486ca06000bcd27.xml
Piano Sonata no. 31 in A-flat major,"Beethoven, Ludwig van",,A- major,1821-1822,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata31-1.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata31-1.mid,data/files_kernscores/0139df068310e5a9b2863c8a15734f34299acae3.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata31-1.mid,data/normalized/0139df068310e5a9b2863c8a15734f34299acae3.xml
"Piano Sonata no. 29 in B-flat major (""Hammerklavier"")","Beethoven, Ludwig van",,B- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata29-4.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata29-4.mid,data/files_kernscores/4bb6d0d7bcb7eb23626525c822c32807fb4a984b.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata29-4.mid,data/normalized/4bb6d0d7bcb7eb23626525c822c32807fb4a984b.xml
Piano Sonata no. 28 in A major,"Beethoven, Ludwig van",,a minor,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata28-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata28-3.mid,data/files_kernscores/cefc9a0ed67ed971de9b34ff9d085a1650fa5b5c.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata28-3.mid,data/normalized/cefc9a0ed67ed971de9b34ff9d085a1650fa5b5c.xml
Piano Sonata no. 28 in A major,"Beethoven, Ludwig van",,A major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata28-1.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata28-1.mid,data/files_kernscores/ff158d506eb377c8d71f09eb49b04d2355ef04ca.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata28-1.mid,data/normalized/ff158d506eb377c8d71f09eb49b04d2355ef04ca.xml
"Piano Sonata no. 29 in B-flat major (""Hammerklavier"")","Beethoven, Ludwig van",,f# minor,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata29-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata29-3.mid,data/files_kernscores/8ef7d40a33df9e32cca5008001ed7205a6f76e35.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata29-3.mid,data/normalized/8ef7d40a33df9e32cca5008001ed7205a6f76e35.xml
Piano Sonata no. 28 in A major,"Beethoven, Ludwig van",,F major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata28-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata28-2.mid,data/files_kernscores/1e52e2cf2328fccd60dbbbd9fa6cfb3303c63970.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata28-2.mid,data/normalized/1e52e2cf2328fccd60dbbbd9fa6cfb3303c63970.xml
"Piano Sonata no. 26 in E-flat major (""Les Adieux"")","Beethoven, Ludwig van",,F major,1809-1810,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata26-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata26-2.mid,data/files_kernscores/433fe7b1552a585b35db68857e3f0fd48b4b0b6f.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata26-2.mid,data/normalized/433fe7b1552a585b35db68857e3f0fd48b4b0b6f.xml
Piano Sonata no. 27 in E minor,"Beethoven, Ludwig van",,E major,1814,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata27-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata27-2.mid,data/files_kernscores/da8bb068177c33857deffa4ea3f68b53d0bdd9f2.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata27-2.mid,data/normalized/da8bb068177c33857deffa4ea3f68b53d0bdd9f2.xml
"Piano Sonata no. 18 in E-flat major (""The Hunt"")","Beethoven, Ludwig van",,E- major,1794-1795,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata18-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata18-3.mid,data/files_kernscores/8cbe8f5a9bffa8ebe83519895a0aa056f8ffd280.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata18-3.mid,data/normalized/8cbe8f5a9bffa8ebe83519895a0aa056f8ffd280.xml
Piano Sonata No. 19 in G minor,"Beethoven, Ludwig van",,G major,~1797,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata19-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata19-2.mid,data/files_kernscores/9add28398bcc3e39fe4add22c1a63ba2238950d9.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata19-2.mid,data/normalized/9add28398bcc3e39fe4add22c1a63ba2238950d9.xml
Piano Sonata No. 19 in G minor,"Beethoven, Ludwig van",,g minor,~1797,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata19-1.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata19-1.mid,data/files_kernscores/4a10362606305fda530c7a5532ff21bb2500ec72.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata19-1.mid,data/normalized/4a10362606305fda530c7a5532ff21bb2500ec72.xml
"Piano Sonata no. 17 in D minor (""Tempest"")","Beethoven, Ludwig van",,B- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata17-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata17-2.mid,data/files_kernscores/4b2cb278fc2090f1a0e298b949c345e40e735e13.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata17-2.mid,data/normalized/4b2cb278fc2090f1a0e298b949c345e40e735e13.xml
"Piano Sonata no. 17 in D minor (""Tempest"")","Beethoven, Ludwig van",,d minor,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata17-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata17-3.mid,data/files_kernscores/3c87efee3d5c5b04265de8a2a6b4da1844a8c929.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata17-3.mid,data/normalized/3c87efee3d5c5b04265de8a2a6b4da1844a8c929.xml
Piano Sonata no. 16 in G major,"Beethoven, Ludwig van",,C major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata16-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata16-2.mid,data/files_kernscores/9fc7637f1213536b3420028946876fd66bde56b3.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata16-2.mid,data/normalized/9fc7637f1213536b3420028946876fd66bde56b3.xml
"Piano Sonata no. 13 in E-flat major (""Quasi una fantasia"")","Beethoven, Ludwig van",,E- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata13-4.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata13-4.mid,data/files_kernscores/3fb60da469e4c0987203535857018a91f741cba7.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata13-4.mid,data/normalized/3fb60da469e4c0987203535857018a91f741cba7.xml
"Piano Sonata no. 12 in A-flat major (""Funeral March"")","Beethoven, Ludwig van",,g# minor,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata12-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata12-3.mid,data/files_kernscores/ce26ffb00dfabead0dd440a4097ac90799622a42.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata12-3.mid,data/normalized/ce26ffb00dfabead0dd440a4097ac90799622a42.xml
"Piano Sonata no. 12 in A-flat major (""Funeral March"")","Beethoven, Ludwig van",,A- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata12-1.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata12-1.mid,data/files_kernscores/5a53d84f8049898c8ab6b28c88e2648a9af2b830.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata12-1.mid,data/normalized/5a53d84f8049898c8ab6b28c88e2648a9af2b830.xml
Piano Sonata no. 11 in B-flat major,"Beethoven, Ludwig van",,B- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata11-4.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata11-4.mid,data/files_kernscores/5f91a754c38cd98fb3975ea2356ffdd1ed4ad2d4.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata11-4.mid,data/normalized/5f91a754c38cd98fb3975ea2356ffdd1ed4ad2d4.xml
Piano Sonata no. 11 in B-flat major,"Beethoven, Ludwig van",,E- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata11-2.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata11-2.mid,data/files_kernscores/835221fd0268550803e3de26ef518df88c8b4c4d.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata11-2.mid,data/normalized/835221fd0268550803e3de26ef518df88c8b4c4d.xml
Piano Sonata no. 11 in B-flat major,"Beethoven, Ludwig van",,B- major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata11-1.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata11-1.mid,data/files_kernscores/78a1712d1ed0ea71fca2eb730bdfa0d86f05b622.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata11-1.mid,data/normalized/78a1712d1ed0ea71fca2eb730bdfa0d86f05b622.xml
"Piano Sonata no. 9 in E major, mvmt. 2","Beethoven, Ludwig van",,E major,,,http://kern.humdrum.org/cgi-bin/ksdata?file=sonata09-3.krn&l=users/craig/classical/beethoven/piano/sonata&format=info,,,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata09-3.mid,data/files_kernscores/7b548586d03747ac3c424573cc54274a9c3bda5c.mid,http://kern.humdrum.org/cgi-bin/ksdata?l=users/craig/classical/beethoven/piano/sonata&file=sonata09-3.mid,data/normalized/7b548586d03747ac3c424573cc54274a9c3bda5c.xml
